Название,Автор,Цена,Старая цена,Рейтинг
Если все кошки в мире исчезнут (покет),Гэнки Кавамура,330,424,8.9
Рассвет Жатвы,Сьюзен Коллинз,0,,9.2
Кафе на краю земли,Джон Стрелеки,319,436,8.9
Морана и Тень. Плетущая,Лия Арден,679,936,9.1
Тайна мертвого ректора. Книга 2,Виктор Дашкевич,669,974,9.4
Самый богатый человек в Вавилоне (львы),Джордж Сэмюэль Клейсон,487,624,8.7
Хороших девочек не убивают,Холли Джексон,639,874,9.4
Твое сердце будет разбито,Анна Джейн,395,506,9.4
Тайна мертвого ректора. Книга 1,Виктор Дашкевич,671,860,9.2
Скорбь Сатаны,Мария Корелли,312,400,8.8
Канашибари. Пока не погаснет последний фонарь. Том 3,"Ангелина Шэн,, Вероника Шэн",901,1 155,9.3
Атомные привычки. Как приобрести хорошие привычки и избавиться от плохих,Джеймс Клир,899,1 436,9.3
Бог всегда путешествует инкогнито,Лоран Гунель,330,424,8.8
Поклонник,Анна Джейн,479,661,9.3
"К себе нежно. Книга о том, как ценить и беречь себя",Ольга Примаченко,855,1 096,8.9
"Конституция Российской Федерации с учетом новых субъектов РФ и Федеральный закон ""О государственном языке РФ"" в редакции от 28.02.2023. Флаг, герб, гимн",Автор не указан,59,71,Нет рейтинга
Система «Спаси-Себя-Сам» для Главного Злодея. Том 3,Тунсю Мосян,1 471,1 887,9.1
По осколкам твоего сердца,Анна Джейн,413,530,9.5
Империя проклятых,Джей Кристофф,1 195,1 533,9.6
1984 (новый перевод),Джордж Оруэлл,312,400,9.1
Убийства в пляжных домиках. Детективное агентство «Благотворительный магазин» (#2),Питер Боланд,759,1 036,9.4
Точка зрения Всеведущего читателя. Том 1 + официальный мерч (Всеведущий читатель / Omniscient Reader's Viewpoint). Новелла,singNsong,1 469,1 736,9.7
Убийства и кексики. Детективное агентство «Благотворительный магазин» (#1),Питер Боланд,759,1 036,8.5
Человек недостойный,Дадзай Осаму,284,365,8.7
Преступление и наказание,Федор Достоевский,303,388,9.2
"Психотрюки. 69 приемов в общении, которым не учат в школе",Игорь Рызов,919,1 249,8.8
Волшебник Изумрудного города,Александр Волков,589,811,Нет рейтинга
"Магическая битва. Книга 13 (Том 25, 26) - Решающая битва в Синдзюку. На юг (лимитированное издание) (Jujutsu Kaisen). Манга",Гэгэ Акутами,1 219,1 624,9.1
Я стал отбросом графской семьи. Том 1 + официальный мерч,Ю Рё Хан,1 469,1 736,9.8
Нежно-денежно. Книга о деньгах и душевном спокойствии,Ольга Примаченко,855,1 096,8.4
Гравити Фолз. Дневник 3,Алекс Хирш,2 229,2 874,9.5
Игры королей. Изгнанник Ардена,Софи Анри,781,1 002,9.3
Зеленый свет,Мэттью Макконахи,1 109,1 499,9.0
Внутри убийцы (#1),Майк Омер,759,1 036,9.5
Гарри Поттер и философский камень,Джоан Кэтлин Роулинг,1 057,1 356,9.6
Спеши любить,Николас Спаркс,321,412,9.4
Ужасы Фазбера. В бассейн! (выпуск 1),Скотт Коутон,639,911,8.4
Думай медленно... решай быстро,Даниэль Канеман,1 329,1 749,9.1
Атомные привычки. Как приобрести хорошие привычки и избавиться от плохих,Джеймс Клир,579,742,8.3
Десять негритят,Агата Кристи,358,459,9.6
"К себе нежно. Книга о том, как ценить и беречь себя (покет)",Ольга Примаченко,579,742,8.6
"Сказать жизни ""ДА!"": психолог в концлагере",Виктор Франкл,579,742,9.3
Мастер и Маргарита: роман,Михаил Булгаков,284,365,9.4
Три товарища,Эрих Ремарк,413,530,8.5
Эйзен,Гузель Яхина,1 009,1 374,Нет рейтинга
Если все кошки в мире исчезнут (подарочное издание),Гэнки Кавамура,597,766,8.9
Девочка с лисьим хвостом. Повесть. Том 1,Сон Вон Пхён,669,911,9.4
На Западном фронте без перемен,Эрих Ремарк,339,435,9.7
Восхитительная ведьма,Анна Джейн,763,978,9.5
Четвертое крыло: роман,Ребекка Яррос,1 379,1 769,9.3
Портрет Дориана Грея,Оскар Уайльд,284,365,9.1
Амур и Психея. Повелители сердец,Дана Делон,499,724,9.7
Искусство любить,Эрих Фромм,330,424,8.9
История России в комиксах. От древних славян до Владимира Путина,Автор не указан,849,1 161,8.1
The Book. Как создать цивилизацию заново,Автор не указан,4 999,6 371,9.5
Герой нашего времени: роман,Михаил Лермонтов,289,347,8.1
Коралина: повесть,Нил Гейман,679,936,9.6
Вегетация,Алексей Иванов,901,1 155,8.5
Sonic. Нежелательные последствия. Комикс. Том 1,Йэн Флинн,763,978,8.7
Дневник памяти,Николас Спаркс,321,412,9.4
