ID,№,Название,Жанр,Тип,Автор,Цена,Цена со скидкой,Рецензии,Голоса
451006,1,Остров Сокровищ,Приключения. Детективы,Книги для детей,Стивенсон Роберт Льюис,7889,3945,546,1536
424618,2,Гарри Поттер и Философский камень,Мистика. Фантастика. Фэнтези,Книги для детей,Роулинг Джоан Кэтлин,1251,626,313,1442
408438,3,Приключения Алисы в Стране Чудес,Классические сказки зарубежных писателей,Книги для детей,Кэрролл Льюис,7023,3512,344,1166
629135,4,Мятная сказка,Современная отечественная проза,Художественная литература,Полярный Александр,900,450,409,983
300609,5,Тайны анатомии,Популярная анатомия для детей,Книги для детей,Доннер Кэрол,1853,927,186,957
208429,6,Правдивая история Деда Мороза,Сказки отечественных писателей,Книги для детей,"Жвалевский,Пастернак",7023,3512,257,955
1017125,7,Читать вслух,Повести и рассказы о детях,Книги для детей,"Антонова,Дашевская,Басова",517,259,4,907
982366,8,Волосы Вероники,Классическая зарубежная проза,Художественная литература,Фицджеральд Фрэнсис Скотт,922,461,1,905
708964,9,Садко,Эпос и фольклор,Книги для детей,Автор не указан,1807,813,9,901
284211,10,Трям! Здравствуйте! И другие сказки,Сказки отечественных писателей,Книги для детей,Козлов Сергей Григорьевич,1807,904,320,870
320735,12,Сонные сказки,Сказки отечественных писателей,Книги для детей,"Гурина,Шкурина,Славицкий",977,440,361,780
279333,13,Сказки от слез,Сказки отечественных писателей,Книги для детей,Кутовая Мария Сергеевна,1070,321,202,752
415942,14,Азбука превращений,Обучение чтению. Буквари,"Учебная, методическая литература и словари",Герасимова Дарья Сергеевна,2046,1023,299,745
352292,15,Про маленького поросенка Плюха,Современные сказки зарубежных писателей,Книги для детей,"Баллод,Румянцева",2415,1087,221,717
149372,16,Полное собрание произведений о Шерлоке Холмсе в одном томе,Классический зарубежный детектив,Художественная литература,Дойл Артур Конан,2489,1245,155,705
507921,17,Ёлка. Сто лет тому назад,Сборники произведений и хрестоматии для детей,Книги для детей,Ким Елена Николаевна,3005,1503,150,702
535141,18,Календарь ма(й)я,Мистика. Фантастика. Фэнтези,Книги для детей,Ледерман Виктория Валерьевна,2083,1042,200,687
724537,19,Новогодний городок. Адвент-календарь,"Головоломки, игры, задания",Книги для детей,Автор не указан,3797,1899,233,670
309500,20,В грозную пору,Исторические повести и рассказы,Книги для детей,Брагин Михаил Григорьевич,6710,3355,89,659
524556,21,"Дом, который построил Джек",Отечественная поэзия для детей,Книги для детей,Маршак Самуил Яковлевич,2083,1042,261,647
413354,22,Тысяча сияющих солнц,Современная зарубежная проза,Художественная литература,Хоссейни Халед,1264,632,270,632
637818,23,Большое путешествие по телу человека,Популярная анатомия для детей,Книги для детей,Фарндон Джон,2286,1143,173,622
41751,24,Игралочка. Математика для детей 3-4 лет. Ступень 1. ФГОС ДО,Обучение счету. Основы математики,"Учебная, методическая литература и словари","Петерсон,Кочемасова",375,244,221,619
610821,25,"К доске пойдет… Василькин! Школьные истории Димы Василькина, ученика 3 ""А"" класса",Повести и рассказы о детях,Книги для детей,Ледерман Виктория Валерьевна,1991,996,250,618
348577,26,Яблочки-пятки. Стихи для самых маленьких,Стихи и загадки для малышей,Книги для детей,Орлова Анастасия Александровна,1217,548,214,615
413336,27,"Невезучка: несколько смешных историй из жизни семилетнего человека, которому не везет",Повести и рассказы о детях,Книги для детей,Ольшанский Иосиф Григорьевич,1563,782,191,609
640582,28,Теория невероятностей. Комплект из 2-х книг,Мистика. Фантастика. Фэнтези,Книги для детей,Ледерман Виктория Валерьевна,3484,1742,185,581
702428,29,Великая Отечественная война. 1941-1945,История,Книги для детей,"Кассиль,Астафьев,Симонов",7373,3687,296,569
614463,30,Приключения Шерлока Холмса,Приключения. Детективы,Книги для детей,Дойл Артур Конан,7023,3512,170,567
413353,31,Бегущий за ветром,Современная зарубежная проза,Художественная литература,Хоссейни Халед,1264,632,247,567
367234,32,Пропавшая буква,Сказки отечественных писателей,Книги для детей,Раскатов Михаил Евсеевич,2139,1070,101,549
464615,33,Остров Сокровищ,Приключения. Детективы,Книги для детей,Стивенсон Роберт Льюис,7889,3945,190,543
208366,34,Архипелаг ГУЛАГ. Полное издание в одном томе,Классическая отечественная проза,Художественная литература,Солженицын Александр Исаевич,2470,1235,49,543
598193,35,Уроков не будет!,Повести и рассказы о детях,Книги для детей,Ледерман Виктория Валерьевна,1715,858,205,536
435204,36,Гарри Поттер и Тайная комната,Мистика. Фантастика. Фэнтези,Книги для детей,Роулинг Джоан Кэтлин,1251,626,68,506
509389,37,Сережик,Повести и рассказы о детях,Книги для детей,Ракитина Елена Владимировна,2747,1236,196,496
463391,38,Елка. Старинная забава,Отечественная поэзия для детей,Книги для детей,Смирнов А. В.,2268,1134,138,486
293389,39,Волшебник Изумрудного города,Сказки отечественных писателей,Книги для детей,Волков Александр Мелентьевич,2415,1208,162,479
549887,40,Двенадцать месяцев. Сказка для чтения и представления,Сказки отечественных писателей,Книги для детей,Маршак Самуил Яковлевич,5088,2544,183,470
451142,41,Подсознание может всё!,Мотивация,Нехудожественная литература,Кехо Джон,892,580,209,463
363877,42,Ледовое побоище,История,Книги для детей,"Беляева,Новичкова",8405,4203,83,457
154546,43,Прогулки по лесу,Животный и растительный мир,Книги для детей,Махотин Сергей Анатольевич,1646,823,109,456
613457,44,Снежный цветок и заветный веер,Современная зарубежная проза,Художественная литература,Си Лиза,1825,913,231,443
272069,45,Космобиолухи,Юмористическое отечественное фэнтези,Художественная литература,"Громыко,Уланов",1254,627,93,441
590517,46,1000 логических игр и головоломок,"Головоломки, игры, задания",Книги для детей,"Гордиенко,Гордиенко",1808,904,315,426
445211,47,Гарри Поттер и узник Азкабана,Мистика. Фантастика. Фэнтези,Книги для детей,Роулинг Джоан Кэтлин,1251,626,49,410
421632,48,Ветер в ивах,Классические сказки зарубежных писателей,Книги для детей,Грэм Кеннет,4019,2010,126,409
41753,49,Игралочка. Математика для детей 4-5 лет. Ступень 2. ФГОС ДО,Обучение счету. Основы математики,"Учебная, методическая литература и словари","Петерсон,Кочемасова",375,244,111,407
719225,50,На два голоса,Романтическая проза,Книги для детей,Дробкова Марина Владимировна,1254,439,14,404
610016,51,Сокровищница сказок. Дисней,Детские книги по мотивам мультфильмов и фильмов,Книги для детей,Автор не указан,9604,4802,26,397
507700,52,Пётр I,История,Книги для детей,"Новичкова,Бунтман,Ратина",8535,4268,88,390
662739,53,Пока мы были не с вами,Современная зарубежная проза,Художественная литература,Уингейт Лиза,1991,896,210,377
464546,54,Украина це Россия,Политика,Нехудожественная литература,Пучков Дмитрий Goblin,1027,514,8,376
363878,55,Новый Год. Жутко запутанное дело,Сборники произведений и хрестоматии для детей,Книги для детей,"Золотов,Драгунский,Аким",2323,1162,92,353
421065,56,Азбука вежливости,Сказки отечественных писателей,Книги для детей,Васильева-Гангнус Людмила Петровна,2083,1042,134,341
474427,57,Чудо-радуга,Стихи и загадки для малышей,Книги для детей,Автор не указан,2968,1484,162,329
667059,58,"Алиса в Зазеркалье, или Сквозь зеркало и что там увидела Алиса",Классические сказки зарубежных писателей,Книги для детей,Кэрролл Льюис,7023,3512,113,324
380690,59,Волшебные истории про Еню и Елю,Сказки отечественных писателей,Книги для детей,Гончарова Анна Сергеевна,1037,519,31,319
255638,60,Классические сказки,Сборники сказок,Книги для детей,Автор не указан,1497,1048,79,317
